Time[s],ain0[N],ain1[N],ain2[N],ain3[N],ain4[N],ain5[N],ain6[N],ain7[N],count
2110.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2111.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2112.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2113.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2114.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2114.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2114.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2114.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2114.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2114.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2114.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2114.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2114.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
2115.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0
